,mentee_intake_id,first_name,last_name,email,profile_id,gender,formerly_incarcerated,convictions_list,veteran_status,intention,tech_stack,career_development,known_languages,date_submitted
0,1,Winston,Reed,Winston_Reed@myspace.com,2781024714661041477,Male,True,"['First Offense Prostitution', 'Resisting an Officer without Violence']",False,Programming Readiness,Data Science,None,None,2021-12-24
1,2,Clayton,Perez,Clayton_Perez@yahoo.com,5411098477944077633,Female,True,"['Battery on Law Enforcement Officer', 'Tax Evasion', 'Drug Possession']",False,Career Readiness,None,['Interview Preperation'],None,2021-03-03
2,3,Kathryn,Kelly,Kathryn_Kelly@myspace.com,275887507625650233,Female,True,"['Tax Evasion', 'Battery', 'Agrivated Assult']",False,Programming Readiness,Web3,None,None,2020-09-18
3,4,Taylor,Bennet,Taylor_Bennet@gmail.com,4434751039304654789,Female,True,"['Driving on a Suspended License', 'Battery on Law Enforcement Officer', 'Resisting an Officer without Violence', 'Homicide']",False,Career Readiness,None,['Resume Help'],None,2021-07-19
4,5,Iker,Robinson,Iker_Robinson@icloud.com,4387769754891819622,Non-binary,True,"['Tax Evasion', 'Agrivated Assult', 'Battery on Law Enforcement Officer']",False,Programming Readiness,Backend,None,None,2020-01-23
5,6,Cory,Morgan,Cory_Morgan@aol.com,5533477046168175917,Non-binary,True,"['Battery on Law Enforcement Officer', 'Marijuana Possession', 'Aggrivated Battery', 'Agrivated Assult']",False,Programming Readiness,Data Science,None,None,2020-07-14
6,7,Leon,Ross,Leon_Ross@myspace.com,7054492486990369460,Female,True,"['Petit Theft', 'Aggrivated Battery']",False,Programming Readiness,Web Development,None,None,2020-07-19
7,8,Julian,Hernandez,Julian_Hernandez@yahoo.com,3758234162447022538,Male,False,None,False,Career Readiness,None,"['Job Searching', 'Resume Help']",Python,2020-01-18
8,9,Theo,Nguyen,Theo_Nguyen@yahoo.com,9119441338771557298,Non-binary,True,"['Battery on Law Enforcement Officer', 'First Offense Prostitution', 'Driving on a Suspended License']",False,Programming Readiness,Android,None,None,2020-04-27
9,10,Micah,Campbell,Micah_Campbell@hotmail.com,4403213428016687624,Female,True,"['Agrivated Assult', 'Petit Theft', 'Loitering and Prowling']",False,Programming Readiness,Backend,None,None,2021-10-23
10,11,Grant,Lewis,Grant_Lewis@yahoo.com,3882359898344720041,Non-binary,True,"['Homicide', 'Battery', 'Loitering and Prowling', 'Tax Evasion']",False,Programming Readiness,IOS,None,None,2020-07-15
11,12,Caroline,James,Caroline_James@aol.com,5393557772329615229,Non-binary,True,['Driving on a Suspended License'],True,Programming Readiness,IOS,None,Java,2020-08-06
12,13,Demetrius,Taylor,Demetrius_Taylor@aol.com,4839314333815779201,Non-binary,True,"['Battery', 'Felony Battery']",False,Programming Readiness,Web3,None,None,2020-03-03
13,14,Malakai,Reyes,Malakai_Reyes@aol.com,6285057559294001601,Female,True,"['Homicide', 'Driving on a Suspended License', 'Felony Battery']",False,Career Readiness,None,"['Resume Help', 'Job Searching', 'Interview Preperation']",None,2020-11-23
14,15,Jeremiah,Murphy,Jeremiah_Murphy@gmail.com,3859194828166890967,Female,False,None,False,Career Readiness,None,"['Interview Preperation', 'Resume Help', 'Job Searching']",None,2020-10-03
15,16,Andy,White,Andy_White@aol.com,4271202055930697644,Female,True,"['Tax Evasion', 'Agrivated Assult', 'Battery on Law Enforcement Officer']",False,Programming Readiness,Web3,None,None,2020-10-09
16,17,Carter,Martin,Carter_Martin@yahoo.com,1154271955977424656,Male,True,"['Marijuana Possession', 'First Offense Prostitution', 'Aggrivated Battery', 'Battery']",False,Programming Readiness,Web3,None,None,2020-05-10
17,18,Henrik,Reyes,Henrik_Reyes@aol.com,1526541852519478610,Non-binary,True,"['Battery on Law Enforcement Officer', 'Battery', 'Resisting an Officer without Violence']",False,Programming Readiness,Web3,None,HTML,2021-05-16
18,19,Jamari,Young,Jamari_Young@gmail.com,7172368747111418312,Male,True,['Resisting an Officer without Violence'],False,Career Readiness,None,"['Resume Help', 'Interview Preperation']",Java,2020-06-30
19,20,Royce,Johnson,Royce_Johnson@aol.com,2535544699870063603,Female,True,"['Marijuana Possession', 'Drug Possession', 'Battery', 'Felony Battery']",True,Programming Readiness,Android,None,Python,2021-08-19
20,21,Emanuel,Cruz,Emanuel_Cruz@myspace.com,7581700873847704669,Non-binary,True,"['Driving on a Suspended License', 'Homicide', 'Resisting an Officer without Violence', 'Tax Evasion']",False,Career Readiness,None,['Job Searching'],None,2021-12-07
21,22,Bryson,Thomas,Bryson_Thomas@yahoo.com,7221082590440695379,Male,True,"['Homicide', 'Marijuana Possession']",False,Programming Readiness,Web Development,None,Python,2020-02-28
22,23,Brady,Morales,Brady_Morales@icloud.com,4225437056231711104,Non-binary,True,"['Resisting an Officer without Violence', 'Felony Battery', 'Loitering and Prowling', 'Tax Evasion']",False,Career Readiness,None,"['Job Searching', 'Resume Help', 'Interview Preperation']",None,2020-05-30
23,24,Noemi,Hernandez,Noemi_Hernandez@gmail.com,6184775863745705144,Female,True,['Felony Battery'],False,Programming Readiness,Web Development,None,Python,2020-06-03
24,25,Roberto,Martin,Roberto_Martin@hotmail.com,6860640124115649068,Female,True,['Agrivated Assult'],False,Programming Readiness,Data Science,None,None,2021-10-30
25,26,Chloe,Taylor,Chloe_Taylor@yahoo.com,4054736383497726338,Male,True,"['Tax Evasion', 'Felony Battery']",False,Career Readiness,None,"['Interview Preperation', 'Job Searching']",None,2021-09-01
26,27,Ledger,Edwards,Ledger_Edwards@yahoo.com,6207994731558042722,Male,True,"['Felony Battery', 'Battery on Law Enforcement Officer', 'Drug Possession', 'Resisting an Officer without Violence']",False,Programming Readiness,Data Science,None,None,2020-02-04
27,28,Colby,Roberts,Colby_Roberts@yahoo.com,5270528572873501759,Female,True,['Resisting an Officer without Violence'],False,Career Readiness,None,"['Interview Preperation', 'Resume Help']",None,2021-10-08
28,29,Ariya,Rivera,Ariya_Rivera@myspace.com,6932333248199510090,Non-binary,True,"['Felony Battery', 'Petit Theft', 'Tax Evasion', 'Battery']",False,Programming Readiness,Data Science,None,None,2021-12-24
29,30,Kaleb,Mitchell,Kaleb_Mitchell@hotmail.com,7170962026088893973,Non-binary,True,"['Petit Theft', 'First Offense Prostitution']",False,Career Readiness,None,"['Interview Preperation', 'Resume Help']",None,2021-12-13
30,31,Dior,Brooks,Dior_Brooks@gmail.com,1478448891991433260,Male,True,"['Petit Theft', 'Felony Battery', 'Homicide']",False,Programming Readiness,Android,None,None,2021-07-30
31,32,Solomon,Phillips,Solomon_Phillips@myspace.com,4670965367886120226,Male,True,['Drug Possession'],False,Programming Readiness,Data Science,None,None,2020-01-24
32,33,Keaton,James,Keaton_James@yahoo.com,7720582750452217500,Non-binary,False,None,False,Programming Readiness,Backend,None,None,2020-02-24
